,Name,Branch,Town,City,Exam,Rank_19_R1,Score_19_R1,Rank_19_R2,Score_19_R2,Rank_20_R1,Score_20_R1,Rank_20_R2,Score_20_R2
528,Lokmanya Tilak Jankalyan Shikshan Sanstha,Mechanical Engineering, Priyadarshani College ofEngineering, Nagpur,JEE,23616.0,40.0,40538.0,25.0,54810.0,8.1375507,50123.0,24.1327066
529,Lokmanya Tilak Jankalyan Shikshan Sanstha,Mechanical Engineering, Priyadarshani College ofEngineering, Nagpur,JEE,23616.0,40.0,62467.0,8.0,54810.0,8.1375507,50123.0,24.1327066
530,Lokmanya Tilak Jankalyan Shikshan Sanstha,Mechanical Engineering, Priyadarshani College ofEngineering, Nagpur,JEE,23616.0,40.0,64024.0,6.0,54810.0,8.1375507,50123.0,24.1327066
531,Lokmanya Tilak Jankalyan Shikshan Sanstha,Mechanical Engineering, Priyadarshani College ofEngineering, Nagpur,JEE,34921.0,30.0,39498.0,25.0,54810.0,8.1375507,50123.0,24.1327066
532,Lokmanya Tilak Jankalyan Shikshan Sanstha,Mechanical Engineering, Priyadarshani College ofEngineering, Nagpur,JEE,34921.0,30.0,40538.0,25.0,54810.0,8.1375507,50123.0,24.1327066
533,Lokmanya Tilak Jankalyan Shikshan Sanstha,Mechanical Engineering, Priyadarshani College ofEngineering, Nagpur,JEE,34921.0,30.0,62467.0,8.0,54810.0,8.1375507,50123.0,24.1327066
534,Lokmanya Tilak Jankalyan Shikshan Sanstha,Mechanical Engineering, Priyadarshani College ofEngineering, Nagpur,JEE,34921.0,30.0,64024.0,6.0,54810.0,8.1375507,50123.0,24.1327066
535,Genba Sopanrao Moze Trust Parvatibai Genba Moze College ofEngineering,Computer Engineering,Wagholi, Pune,JEE,23666.0,40.0,32115.0,32.0,17993.0,72.8887969,21769.0,68.5455926
536,Lokmanya Tilak Jankalyan Shikshan Sanstha's ,Information Technology, Priyadarshini Institute ofEngineering and Technology, Nagpur,JEE,23758.0,40.0,67226.0,2.0,14344.0,77.3008521,22057.0,68.130492
537,Pravara Rural College of Engineering,Information Technology, Loni, Pravaranagar,JEE,24324.0,40.0,28682.0,35.0,15709.0,75.6240321,16809.0,74.4130597
538,Haji Jamaluddin Thim Trust's Theem College of Engineering,Information Technology, At. VillegeBetegaon, Boisar,JEE,24326.0,40.0,34154.0,30.0,47468.0,30.4835081,49902.0,24.5298782
539,Haji Jamaluddin Thim Trust's Theem College of Engineering,Information Technology, At. VillegeBetegaon, Boisar,JEE,24326.0,40.0,34154.0,30.0,47468.0,30.4835081,55460.0,4.3596383
540,Prof. Ram Meghe Institute of Technology & Research,Information Technology, Amravati,,JEE,24334.0,40.0,11880.0,60.0,27110.0,61.7967833,18586.0,72.0753904
541,Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus,Computer Engineering, Warje, Pune.,JEE,24898.0,39.0,33587.0,30.0,17998.0,72.8849174,12703.0,79.2999634
542,R. C. Patel Institute of Technology,Electrical Engineering, Shirpur,,JEE,24941.0,39.0,24670.0,39.0,28206.0,60.2733485,34113.0,52.332402
543,R. C. Patel Institute of Technology,Mechanical Engineering, Shirpur,,JEE,25660.0,38.0,61421.0,9.0,30391.0,57.4239924,52098.0,18.6441397
544,R. C. Patel Institute of Technology,Mechanical Engineering, Shirpur,,JEE,31219.0,33.0,61421.0,9.0,30391.0,57.4239924,52098.0,18.6441397
545,Lokmanya Tilak Jankalyan Shikshan Sanstha's ,Electrical Engineering, Priyadarshini Institute ofEngineering and Technology, Nagpur,JEE,25743.0,38.0,66260.0,4.0,53451.0,14.2187036,21500.0,68.7138181
546,Anantrao Pawar College of Engineering & Research,Computer Engineering, Pune,,JEE,25764.0,38.0,28999.0,35.0,21478.0,68.7138181,17196.0,73.9036466
547,Deogiri Institute of Engineering and Management Studies,Mechanical Engineering, Aurangabad,,JEE,26088.0,38.0,30045.0,34.0,40743.0,42.4413035,21143.0,69.2200654
548,Deogiri Institute of Engineering and Management Studies,Mechanical Engineering, Aurangabad,,JEE,26088.0,38.0,30045.0,34.0,40743.0,42.4413035,49701.0,24.8477503
549,Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology,Electrical Engineering,Management & Research, Nagpur,JEE,26408.0,37.0,62056.0,8.0,48810.0,27.365224,42389.0,40.2834867
550,Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology,Electrical Engineering,Management & Research, Nagpur,JEE,26408.0,37.0,62056.0,8.0,48810.0,27.365224,52154.0,18.46003
551,Konkan Gyanpeeth College of Engineering,Computer Engineering, Karjat,,JEE,26975.0,36.0,30232.0,34.0,41437.0,41.7292723,43504.0,38.6050233
552,JSPM'S Jaywantrao Sawant College of Engineering,Electrical Engineering,Pune,,JEE,27740.0,36.0,29434.0,35.0,48980.0,27.1112503,54098.0,11.2974404
553,Marathwada Mitra Mandal's College of Engineering,Electrical Engineering, Karvenagar, Pune,JEE,27881.0,35.0,25379.0,38.0,49963.0,24.4474919,24382.0,64.9291194
554,Rajiv Gandhi College of Engineering Research & Technology  Chandrapur,Mining Engineering,,,JEE,28524.0,35.0,43699.0,22.0,24668.0,64.8959321,26327.0,62.7368048
555,Rajiv Gandhi College of Engineering Research & Technology  Chandrapur,Mining Engineering,,,JEE,28524.0,35.0,43699.0,22.0,24668.0,64.8959321,27978.0,60.6136506
556,Rajiv Gandhi College of Engineering Research & Technology  Chandrapur,Mining Engineering,,,JEE,28524.0,35.0,43699.0,22.0,24668.0,64.8959321,34543.0,52.0532427
557,Rajiv Gandhi College of Engineering Research & Technology  Chandrapur,Mining Engineering,,,JEE,28524.0,35.0,43699.0,22.0,24668.0,64.8959321,40503.0,43.046287
558,Rajiv Gandhi College of Engineering Research & Technology  Chandrapur,Mining Engineering,,,JEE,28524.0,35.0,43699.0,22.0,24668.0,64.8959321,51813.0,19.8018924
559,NBN Sinhgad Technical Institutes Campus,Information Technology, Pune,,JEE,29014.0,35.0,39075.0,26.0,16653.0,74.7839723,9843.0,82.75399
560,Genba Sopanrao Moze College of Engineering,Computer Engineering, Baner-Balewadi, Pune,JEE,29860.0,34.0,30147.0,34.0,18913.0,71.8911882,20013.0,70.3754081
561,Annasaheb Dange College of Engineering and Technology,Electrical Engineering, Ashta, Sangli,JEE,29937.0,34.0,34664.0,30.0,52754.0,16.2220645,47305.0,30.9271445
